name,old_price,new_price,promotion,reviews_amount,reviews_rating_number
Café Camilo Gourmet Torrado E Moído 500g,37,,,(39),4.7
Café Grãos Torrado 1 Kg Blend 100% Arábica Gourmet Artesanal,99,91,8% OFF,(144),4.7
Café em Grao Torrado Expresso Arábica Torra Escura Grãos 1kg Gourmet Cafe Italle,99,79,20% OFF,(2171),4.5
Café Gourmet Torrado/moido 100% Árabica Aromas Baggio 250gr Aroma Chocolate Com Avelã,35,,,(807),4.9
Café Torrado E Moído Gourmet Sul De Minas 250g 3 Corações,39,28,28% OFF,(769),4.8
Café Subasio Gourmet 500gr Grãos Torra Média Clara,58,,,(8),5.0
Café Em Pó Saborizado Canela 250g 100% Arábica Gourmet,38,,,(46),4.5
Café Em Grãos Helena 1kg 100% Arábica,97,,,(1059),4.7
Café Torrado e Moído Chocolate com Menta Baggio Pacote 250g,36,33,8% OFF,(758),4.8
Kit 3 Cafés 250g Baggio Café Torrado E Moído,99,,,(69),4.9
"1kg Café Torrado Em Grãos Torra Média Gourmet Selecionado 100% Arábica - Origem Pequenos Produtores, Sul de Minas.",122,90,26% OFF,(161),4.7
Café Em Pó Sabor Chocolate 250g 100% Arábica Aromatizado,38,,,(4),4.0
Café Casa Brasil Gourmet 250g 100% Arábica Alta Mogiana,33,31,7% OFF,(15),3.6
Café Gourmet Torrado E Moido Baggio Torra Media Pcte 250gr Intensidade 9,38,,,(445),4.8
Kit Café Gourmet Baggio Chocolate Com Avelã+trufado+caramelo,133,127,5% OFF,(296),4.9
Café Gourmet Massimo Segafredo Zanetti 500 G Em Grãos,78,,,(2),4.5
1 Kg Café Gourmet Em Grão Ouro Da Mogiana,114,,,(677),4.7
Café Especial 82 pontos Santa Monica Em Grãos 100% Arábica - 1kg,144,98,32% OFF,(542),4.8
3 Corações Gourmet café torrado em grãos 500gr,57,,,(30),4.7
Café Aromatizado Amêndoas Torradas - Café Floresta - 100gr,22,,,(32),4.8
Baggio Bourbon Espresso Grão 500g,117,77,34% OFF,(113),4.9
Café Gourmet Appassionato Em Grãos Caramelo 100% Arábica 1kg,99,91,8% OFF,(130),4.8
Café Torrado E Moído Gourmet Cerrado Mineiro 250g 3 Corações,30,,,(521),4.8
Café torrado e moído gourmet mogiana paulista 250g 3 Corações,37,31,13% OFF,(450),4.8
2 Cafés Torrados Moídos 100% Arábica Da Mantiqueira Mineira,120,30,,(12),5.0
Drip Coffee Santa Monica Gourmet 10 Sachês -,27,,,(46),4.5
Café Torrado e Moído Caramelo Baggio Pacote 250g,36,33,7% OFF,(573),4.8
Café Torrado Moído Aroma Chocolate Trufado Capresso 250g,32,16,,(4),3.0
Café moído Bem Te Vi - Café Mineiro Gourmet Torra Média 100% Arábica em pacote 500g 500 g,64,43,33% OFF,(169),4.6
Café Torrado em Grãos Bravo Café Gourmet Pacote 1kg,97,,,(104),4.8
Café Em Grão Constantino Especial - 1kg Gourmet 100% Arábica,114,,,(230),4.7
Café em Grãos 3 Corações Expresso Gourmet Torrado Pacote 1 kg,154,133,13% OFF,(6),4.7
Café Torrado E Moído Dark Roast Gourmet 250g 3 Corações,37,32,12% OFF,(238),4.9
Café Gourmet Top Torrado Em Grãos Notas De Chocolate 1 K,99,,,(193),4.8
Café Torrado e Moído Gourmet Espresso Baggio 250g,61,38,36% OFF,(352),4.8
Café Gourmet Em Grãos Torra Italiana 1 Kg - Santa Mônica,146,,,(131),4.7
Café Torrado e Moído Sul de Minas Melitta Gourmet Regiões Brasileiras Pacote 250g,34,30,12% OFF,(59),4.7
1kg Café Torrado Em Grãos 100% Arábica Gourmet Baixa Mogiana,109,101,7% OFF,(11),5.0
Café Em Grão Torrado Espresso Gourmet Tres Corações 1kg,147,134,8% OFF,(38),4.7
Café Torrado em Grãos Espresso Santa Lúcia Pacote 1kg,96,,,(223),4.6
Café Torrado e Moído Café Odebrecht Gourmet Caixa 500g,59,43,28% OFF,(146),4.2
Café Torrado e Moído Equilibrado L'or Torras Gourmet Sachê 250g,39,31,21% OFF,(55),5.0
1kg Café Gourmet em Grãos Torrado Vô Luiz 100% Arábica,99,,,(47),4.7
Café Em Grãos Gourmet América 100% Arabica 1kg,125,,,(406),4.8
Café Camilo Gourmet Torrado E Moído 500g,37,,,(39),4.7
1kg Café Gourmet Grãos 100% Arabica Direto Do Produtor Minas,117,91,22% OFF,(485),4.6
Café Gourmet Torrado Em Grãos Appassionato 250g,28,,,(22),4.7
Café Gourmet 100% Arábica Torrado Moído São Sebastião 500g ,42,21,,(27),4.9
Café Gourmet Em Grãos Reserva Gourmet Sabor Bourbon 2 Pct,136,112,17% OFF,(25),4.6
1kg Café Em Grãos Gourmet Selecionado Torra Média. Sul De Mg,121,92,24% OFF,(51),4.7
Café Em Grãos Gourmet América 100% Arabica 500g,59,,,(167),4.7
Café Helena Gourmet Torrado Em Grãos - 10 Kgs,998,96,,,
Kit 2 Café Tradicional 500g Pó Arábica Moído - Gomes E Bueno,98,78,20% OFF,(2),5.0
Café Vulcânica Gourmet 500g - Notas De Caramelo -seleção 82+,74,,,(8),4.9
Café Torrado em Grãos Espresso Forza L'or Gourmet Pacote 500g,113,,,(259),4.8
Café Em Grão Espresso Gourmet 1kg 100% Arábico - Coffshore,78,,,,
Café Torrado e Moído Dark Roast Gourmet 500g 3 Corações,65,,,(14),5.0
Kit 5kg Cafe Gourmet Em Graos 100% Arábica São Sebastião,514,51,,(60),4.7
Café Especial Torrado em Grãos Clássico Orfeu Pacote 1kg,187,112,39% OFF,(1101),4.8
Café Individual Gourmet Santa Monica Drip Coffee 10 Sachês,49,32,35% OFF,(48),4.7
"Kit Café Especial Em Grãos, 3 Sabores, 3 Pct De 200g,",94,77,17% OFF,(23),4.4
Café Gourmet Vó Liani 500g Torrado E Moído Torra Média,49,45,7% OFF,(24),4.3
Kit 3kg Café Especial Dupan Em Grãos Arábica Gourmet,309,285,7% OFF,(2),5.0
"Kit Café Gourmet Moído São Sebastião 2,5kg",236,23,,(38),4.9
Café Gourmet 20 Cápsulas Nespresso - Santa Monica,59,,,(2),5.0
Café torrado em grãos espresso 3 Corações Gourmet pacote 1kg,157,144,7% OFF,(166),4.8
Kit 2 Café Gourmet Appassionato Médio Em Grão Expresso 1kg,210,,,(50),4.7
Café em Grao Torrado Expresso Arábica Torra Escura Grãos 1kg Gourmet Cafe Italle,99,79,20% OFF,(2171),4.5
Café Camilo Gourmet Torrado E Moído 500g,37,,,(39),4.7
Café Gourmet Torrado E Moído Pó Aroma De Coco Capresso 250g,32,16,,(3),5.0
Cafe Gourmet Ouro Da Mogiana Torrado E Moído 500g,48,24,,(48),4.8
Café Floresta Aromatizado Trufas de Chocolate 100g,22,,,(7),5.0
Café Especial Região Mogiana Moído 250g,32,,,(5),4.0
Café Grãos Torrado 1 Kg Blend 100% Arábica Gourmet Artesanal,99,91,8% OFF,(144),4.7
Café Toledo Gourmet Torrado Em Grãos 1kg,98,,,(17),4.8
Café Torrado Em Grãos 100% Arábica 1kg Gourmet - Café Bororó,99,76,23% OFF,(40),4.9
Café Torrado Arábica Em Grãos 1kg Gourmet Sul De Minas,118,93,21% OFF,(179),4.5
Kit 5kg Café Em Grãos Gourmet América,549,55,,(62),4.8
Café Em Grãos Bialetti Roma Torragem Média 1 Kg,129,,,(42),4.8
Café Especial Camilo Gourmet 250g,24,,,(10),4.3
Café Moído Torra Média Bem Te Vi Gourmet Selecionado 100% Arábica em pacote 250g - Sul de Minas.,27,25,8% OFF,(73),4.2
Café em grão Supremo Arábica Gourmet 1 kg,89,17,,(1),5.0
Café Baggio Gourmet Espresso Em Graos 500gr -,77,,,(22),4.6
Kit 3 Kg Café Gourmet Em Grão Ouro Da Mogiana,359,,,(20),4.7
Café Casa Brasil Gourmet 500g 100% Arábica Alta Mogiana,59,55,7% OFF,(27),4.3
Café Drip Coffee Mata De Minas 10 Unidades 10g 3 Corações,29,,,,
Café Torrado E Moído Vácuo América Gourmet 500g,53,,,(37),4.3
Café Gourmet Appassionato Em Grãos 100% Arábica - 1kg,112,94,16% OFF,(200),4.7
Café Torrado E Moído Pó Aroma Chocolate Avelã Capresso 250g,32,16,,,
Kit 4 Café Gourmet Torrado E Moido Pó Appassionato 250g,94,86,8% OFF,(10),4.6
Café Torrado Em Grãos Terrazu Gourmet 1kg Torra Média Promo,99,,,(373),4.7
Café Orfeu Descafeinado Grãos 100% Arábica Torra Escura 250g,69,58,15% OFF,(14),4.4
Café Gourmet Torrado Em Grãos Terrazu 1kg Torra Média,98,,,(42),4.8
Ituano gourmet 1kg espresso,92,18,,(1),5.0
500g Café Torrado Moído 100% Arábica Gourmet Baixa Mogiana,49,45,7% OFF,(67),4.1
Café Gold Valle - Gourmet 100% Arábico Grãos 1 Kg.,108,99,8% OFF,(43),4.7
Café Gourmet Torrado Moído Aroma Vanilla Nozes Capresso 250g,32,16,,(5),4.0
Café Torrado e Moído Intenso L'or Torras Gourmet Sachê 250g,37,,,(40),4.9
Café Tenor Moído 500g  Bravo Café,42,,,,
Café Baobá Gourmet Em Grãos 1kg,137,,,(1),4.0
Café Notas De Chocolate Gourmet Grãos Torra Média Alta 1 Kg,99,,,(280),4.7
Café Especial Torrado em Grãos Clássico Orfeu Pacote 1kg,187,112,39% OFF,(1101),4.8
Kit Café Rigno Intenso Torrado E Moído 100% Arábica - 4x250g,169,155,8% OFF,,
Café Utam Em Grãos Espresso Crema 100% Árabica 1kg Original,99,,,(99),4.5
Café Torrado Moído Mogiana Melitta Regiões Brasileiras 250g,35,,,(146),4.7
Café Acima Do Gourmet Especial Tipo Exportação 1 Kg Grãos,128,,,(45),4.8
Café Em Pó Gourmet Dark Roast 3 Corações 250g,32,,,(11),5.0
Cafe Em Grão 01 Kg 100% Arábica Gourmet Especial Torra Média,99,91,7% OFF,(36),4.8
Café Em Grão Torrado Gourmet 100% Arabica 500 Gramas,109,82,25% OFF,,
1kg Café Gourmet Torra Média 100% Arábica Alta Mogiana ,189,108,43% OFF,(184),4.7
Kit 2 Café Tradicional 500g Pó Arábica Moído - Gomes E Bueno,98,78,20% OFF,(2),5.0
Café Vulcânica Gourmet 500g - Notas De Caramelo -seleção 82+,74,,,(8),4.9
Santa Monica Café Moído Torra Italiana 500g,60,,,(65),4.6
Café Em Grãos Torrado 500g Blend 100% Arábica Gourmet,62,51,16% OFF,(6),4.8
Café Torrado Grãos 100% Arábica Gourmet 1kg Especial Promo,97,,,(87),4.7
Kit 5kg Cafe Gourmet Em Graos 100% Arábica São Sebastião,514,51,,(60),4.7
Café Especial Torrado em Grãos Clássico Orfeu Pacote 1kg,187,112,39% OFF,(1101),4.8
Café Gourmet Em Grãos Torra Clara 250g Guardião 100% Conilon,78,41,47% OFF,,
Café Torrado E Moído Mogiana Paulista Gourmet 3 Corações Pac,32,,,(36),4.6
Café ESPRESSO Gourmet Torrado em Grãos Prima Qualità 1kg,162,,,(109),4.8
Kit 3kg Café Especial Dupan Em Grãos Arábica Gourmet,309,285,7% OFF,(2),5.0
"Kit Café Gourmet Moído São Sebastião 2,5kg",236,23,,(38),4.9
Café Gourmet Direto Da Fazenda Expresso 1kg Torrado Em Grãos,98,,,(259),4.6
"Kit Café Gourmet Moído São Sebastião 2,5kg",236,23,,(38),4.9
Café Torrado e Moído Baggio Caffé.com Premium Pacote 250g,61,37,38% OFF,(302),4.8
Café Camilo Gourmet Torrado E Moído 500g,37,,,(39),4.7
Café Muchoqueiro Gourmet 100% Arábica Torrado Moído,50,,,(1),4.0
Café Em Pó Sabor Laranja 250g 100% Arábica Coar Prensa Moka,42,,,(2),5.0
Café Torrado e Moído a Vácuo Café Toledo Gourmet Pacote 250g,31,,,(7),5.0
Café Torrado e Moído Delicado L'or Torras Gourmet Sachê 250g,37,,,(56),4.8
Artesanatto - Café Torrado E Moído 1kg Direto Produtor,109,,,(7),4.6
Café em Grão Torra Média/Clara Café Caconde Gourmet Expresso 100% Arábica em Pacote de 1kg,114,,,(25),4.7
Café Toledo Gourmet Torra E Moído A Vàcuo 500g,45,,,(25),4.8
Café Gourmet Torrado E Moido Pó Appassionato 250g,28,26,7% OFF,(18),4.2
Café Torrado e Moído Chocolate Trufado Baggio Pacote 250g,38,,,(2425),4.8
Café Tradicional 500g Em Pó Arábica Moído Gomes E Bueno,49,42,13% OFF,(6),3.2
Café Gourmet Ouro Da Mogiana 500g Em Grãos Ou Moagem,61,,,(9),4.8
Kit 4 Kg Café Gourmet Em Grão Ouro Da Mogiana - Frete Grátis,454,418,7% OFF,(23),5.0
Cafe Em Grao Espresso Torrado Gourmet 100% Arabica 1 Kg,108,,,(3),3.7
